code,name,sector,price,per,pbr,yield,roe,d2e,pos52,mcap,score,flags
4732,ユー・エス・エス,サービス業,1974.0,22.274881,4.796268,2.7710233029381968,22.409001,1.111,0.6899606299212598,896275972096.0,28,
3697,ＳＨＩＦＴ,情報・通信業,879.5,27.364655,5.8440866,0.9323479249573621,17.231001000000003,89.776,0.26486733760292774,224804683776.0,28,
6302,住友重機械工業,機械,5919.0,17.472033,1.0016108,2.2807906741003547,6.068,38.419,0.8561221175706398,702001709056.0,27,
5471,大同特殊鋼,鉄鋼,2435.0,15.047583,1.0051396,2.0123203285420943,7.555000000000001,39.527,0.6804932735426009,486644023296.0,27,
2791,大黒天物産,小売業,4605.0,17.35771,1.0109663,0.8469055374592834,5.8969997,59.009,0.15183867141162516,61759926272.0,27,利益急減(-53%)
5659,日本精線,鉄鋼,1414.0,20.231792,1.0204155,2.9702970297029703,5.7389997,1.359,0.6482504604051565,43427926016.0,27,
6287,サトー,機械,2783.0,17.761185,1.0589427,2.7308659719726913,7.537000000000001,25.779,0.8138238573021181,90349002752.0,27,
6282,オイレス工業,機械,2961.0,17.247206,1.0760696,2.87065180682202,6.348,1.745,0.9745762711864406,85107892224.0,27,
8084,ＲＹＯＤＥＮ,卸売業,4815.0,19.731989,1.0874846,2.866043613707165,6.229,2.155,0.9639175257731959,103675305984.0,27,
2002,日清製粉グループ本社,食料品,2009.0,17.712925,1.08905,2.9865604778496766,6.0960002,16.757,0.6006322444678609,561745231872.0,27,
7912,大日本印刷,その他製品,3307.0,14.053204,1.1580223,1.2095554883580284,6.9180004,18.92,0.9417773237997957,1419293884416.0,27,利益急減(-46%)
8051,山善,卸売業,1919.0,19.20152,1.1836115,2.8139656070870247,7.256,34.992,0.9070866141732283,167707115520.0,27,
8282,ケーズホールディングス,小売業,1916.5,21.014256,1.1898361,2.4002087138012,7.513,23.315,0.626149802890933,296119304192.0,27,
3391,ツルハホールディングス,小売業,2361.0,16.377636,1.220887,2.1050402371876324,,22.553,0.427536231884058,1069750157312.0,27,利益急減(-35%)
6289,技研製作所,機械,1937.0,28.979654,1.2555648,2.5296850800206503,6.385000000000001,1.423,0.4702928870292887,49134022656.0,27,
8511,日本証券金融,その他金融業,2455.0,18.922459,1.4129652,3.5030549898167007,8.929,9984.34,0.8333333333333334,198278774784.0,27,
8005,スクロール,小売業,1874.0,23.233324,1.6522644,3.1483457844183564,8.415000000000001,,0.9514218009478673,63704702976.0,27,
3880,大王製紙,パルプ・紙,971.0,18.065117,0.65463734,1.4418125643666324,4.205,164.53,0.3665893271461717,149750939648.0,26,
9519,レノバ,電気・ガス業,964.0,26.345997,0.6569313,,2.172,168.911,0.44387755102040816,87140777984.0,26,利益急減(-89%)
3401,帝人,繊維製品,1749.5,,0.81298774,2.857959416976279,-9.887,77.463,0.8801287208366855,337506369536.0,26,赤字(EPS≤0)
4188,三菱ケミカルグループ,化学,1183.5,,0.8828222,2.703844528939586,1.418,73.776,0.8319594166138238,1608007155712.0,26,赤字(EPS≤0)
2922,なとり,食料品,1985.0,18.608793,0.8895641,1.2090680100755666,7.195,13.068,0.7061855670103093,24976168960.0,26,
4045,東亞合成,化学,1865.0,15.31576,0.898335,1.742627345844504,6.1079998,9.306,0.875406283856988,197143265280.0,26,
2207,ｍｅｉｔｏ,食料品,3710.0,20.247776,0.9266803,1.482479784366577,5.0970003,28.465,0.976218787158145,60479791104.0,26,
4061,デンカ,化学,3496.0,19.198242,0.97282594,2.8604118993135015,2.616,70.616,0.5258671952428147,301354188800.0,26,
5122,オカモト,ゴム製品,6400.0,22.618835,0.9957443,1.875,6.0760003,2.939,0.8498498498498499,108761866240.0,26,
6999,ＫＯＡ,電気機器,2445.0,22.998777,0.9977657,1.30879345603272,6.106,47.48,0.619440623567171,90800685056.0,26,
4502,武田薬品工業,医薬品,5702.0,,1.192245,3.5075412136092594,-2.262,73.245,0.8285862247540134,9104677404672.0,26,赤字(EPS≤0)
6363,酉島製作所,機械,3200.0,14.260885,1.3655279,1.96875,13.062000000000001,53.402,0.7612513721185511,84213030912.0,26,売上減(-16%)
4544,Ｈ．Ｕ．グループホールディングス,サービス業,3579.0,29.459215,1.4705018,3.4925956971221015,7.112,44.764,0.5524597300827165,195398991872.0,26,
1518,三井松島ホールディングス,その他製品,2293.0,15.461902,1.482099,2.791103358046228,11.572000000000001,89.07,0.9055793991416309,84905115648.0,26,
6143,ソディック,機械,1788.0,13.897093,1.5254594,0.5592841163310962,13.653,75.594,0.7325134511913912,89275973632.0,26,
8031,三井物産,卸売業,4873.0,16.766445,1.5381925,2.8729735276010673,11.378,63.652,0.470155836518671,13811000016896.0,26,
3034,クオールホールディングス,小売業,2613.0,13.243791,1.6519207,1.9135093761959432,17.169999999999998,62.252,0.9568788501026694,98190188544.0,26,
8058,三菱商事,卸売業,4778.0,22.76973,1.8162901,2.3022185014650485,10.077,62.621,0.5638034641215978,17494640164864.0,26,
4927,ポーラ・オルビスホールディングス,化学,1380.0,26.932083,1.8877553,3.768115942028986,6.984999999999999,0.02,0.7295285359801489,305370857472.0,26,
8001,伊藤忠商事,卸売業,2000.5,15.622804,2.0661604,2.1994501374656337,14.093,72.922,0.5748476289579307,13983319851008.0,26,
9433,ＫＤＤＩ,情報・通信業,2854.0,15.543816,2.1193552,2.8030833917309037,14.585999999999999,93.799,0.6717885679164106,10551378837504.0,26,
429A,テクセンドフォトマスク,その他製品,3845.0,15.424422,2.152329,1.4564369310793237,16.573999999999998,0.708,0.4482626956853761,382023303168.0,26,
3659,ネクソン,情報・通信業,3002.0,17.574055,2.1866376,1.9986675549633577,12.519,4.546,0.3838209982788296,2338190262272.0,26,
2760,東京エレクトロン　デバイス,卸売業,4205.0,15.813621,2.3205159,2.544589774078478,18.176001,61.683,0.7355163727959698,123835064320.0,26,
3676,デジタルハーツホールディングス,情報・通信業,1059.0,19.977364,2.3937829,2.3607176581680833,11.391,57.665,0.9973684210526316,23614433280.0,26,
3915,テラスカイ,情報・通信業,2351.0,19.292631,2.4247212,0.680561463207146,13.475999,1.34,0.38586222422332284,30348769280.0,26,
6758,ソニーグループ,電気機器,3718.0,19.951704,2.6088116,0.6724045185583647,13.159999,21.318,0.3894979803808425,21764451074048.0,26,
